Layer,gridcode,color_code,Type,Type_Re
AST_2025,1,#FFFFCC,< 28 °C,Safe
AST_2025,2,#FED976,28–31 °C,Caution
AST_2025,3,#FD8D3C,31–35 °C,Moderate Risk
AST_2025,4,#F43D25,35–38 °C,High Risk
AST_2025,5,#800026,≥ 38 °C,Extreme Risk
AST_SSP1_2040,1,#FFFFCC,< 28 °C,Safe
AST_SSP1_2040,2,#FED976,28–31 °C,Caution
AST_SSP1_2040,3,#FD8D3C,31–35 °C,Moderate Risk
AST_SSP1_2040,4,#F43D25,35–38 °C,High Risk
AST_SSP1_2040,5,#800026,≥ 38 °C,Extreme Risk
AST_SSP2_2040,1,#FFFFCC,< 28 °C,Safe
AST_SSP2_2040,2,#FED976,28–31 °C,Caution
AST_SSP2_2040,3,#FD8D3C,31–35 °C,Moderate Risk
AST_SSP2_2040,4,#F43D25,35–38 °C,High Risk
AST_SSP2_2040,5,#800026,≥ 38 °C,Extreme Risk
AST_SSP5_2040,1,#FFFFCC,< 28 °C,Safe
AST_SSP5_2040,2,#FED976,28–31 °C,Caution
AST_SSP5_2040,3,#FD8D3C,31–35 °C,Moderate Risk
AST_SSP5_2040,4,#F43D25,35–38 °C,High Risk
AST_SSP5_2040,5,#800026,≥ 38 °C,Extreme Risk
Air_AQI,1,#5EAD5B,0–50,Good
Air_AQI,2,#A3CE63,51–100,Satisfactory
Air_AQI,3,#FBFE56,101–200,Moderate
Air_AQI,4,#E69D39,201–300,Poor
Air_CO,4,#9E77B4,10.1–17,Poor
Air_CO,5,#7A0177,17.1–34,Very Poor
Air_CO,6,#4A004A,34.1+,Severe
Air_NO2,1,#2166AC,0–40,Good
Air_NO2,2,#92C5DE,41–80,Satisfactory
Air_NO2,3,#F7FBB1,81–180,Moderately Polluted
Air_O3,1,#BFE9FF,0–50,Good
Air_O3,2,#73C2FF,51–100,Satisfactory
Air_PM10,1,#1F78B4,0–50,Good
Air_PM10,2,#A6D8A6,51–100,Satisfactory
Air_PM10,3,#FFFF99,101–250,Moderately Polluted
Air_PM10,4,#FFD92F,251–350,Poor
Air_PM25,2,#7FC97F,31–60,Satisfactory
Air_PM25,3,#1B9E77,61–90,Moderately Polluted
Air_PM25,4,#377EB8,91–120,Poor
Air_PM25,5,#4B0082,121–250,Very Poor
Air_SO2,1,#FFFF33,0–40,Good
Air_SO2,2,#B2A244,41–80,Satisfactory
Air_SO2,3,#8C8372,81–380,Moderately Polluted
Flood_Hazard,1,#FFFFFF,Very Low,No event
Flood_Hazard,2,#30CFFF,Low,4-6 events
Flood_Hazard,3,#009FF7,Medium,6-10 events
Flood_Hazard,4,#005CE6,High,>10 events
HHI_2025,1,#91CF60,Low,
HHI_2025,2,#FFFFBF,Moderate,
HHI_2025,3,#FC8D59,High,
HHI_2025,4,#D73027,Extreme,
HHI_SSP1_2040,1,#91CF60,Low,
HHI_SSP1_2040,2,#FFFFBF,Moderate,
HHI_SSP1_2040,3,#FC8D59,High,
HHI_SSP1_2040,4,#D73027,Extreme,
HHI_SSP2_2040,1,#91CF60,Low,
HHI_SSP2_2040,2,#FFFFBF,Moderate,
HHI_SSP2_2040,3,#FC8D59,High,
HHI_SSP2_2040,4,#D73027,Extreme,
HHI_SSP5_2040,1,#91CF60,Low,Comfortable/Manageable
HHI_SSP5_2040,2,#FFFFBF,Moderate,Heat Stress Possible
HHI_SSP5_2040,3,#FC8D59,High,Severe Heat Stress Likely
HHI_SSP5_2040,4,#D73027,Extreme,Life-Threatening
LST_2025,1,#E0F3DB,< 32 °C,Safe
LST_2025,2,#FFFFBF,32–36 °C,Caution
LST_2025,3,#FEE08B,36–40 °C,Moderate Risk
LST_2025,4,#FDAE61,40–45 °C,High Risk
LST_2025,5,#D73027,> 45 °C,Extreme Risk
LST_SSP1_2040,1,#E0F3DB,< 32 °C,Safe
LST_SSP1_2040,2,#FFFFBF,32–36 °C,Caution
LST_SSP1_2040,3,#FEE08B,36–40 °C,Moderate Risk
LST_SSP1_2040,4,#FDAE61,40–45 °C,High Risk
LST_SSP1_2040,5,#D73027,> 45 °C,Extreme Risk
LST_SSP2_2040,1,#E0F3DB,< 32 °C,Safe
LST_SSP2_2040,2,#FFFFBF,32–36 °C,Caution
LST_SSP2_2040,3,#FEE08B,36–40 °C,Moderate Risk
LST_SSP2_2040,4,#FDAE61,40–45 °C,High Risk
LST_SSP2_2040,5,#D73027,> 45 °C,Extreme Risk
LST_SSP5_2040,1,#E0F3DB,< 32 °C,Safe
LST_SSP5_2040,2,#FFFFBF,32–36 °C,Caution
LST_SSP5_2040,3,#FEE08B,36–40 °C,Moderate Risk
LST_SSP5_2040,4,#FDAE61,40–45 °C,High Risk
LST_SSP5_2040,5,#D73027,> 45 °C,Extreme Risk
Multi_Hazard_BBSR,1,#38A800,Low,Minimal Impact
Multi_Hazard_BBSR,2,#FFFF00,Moderate,Manageable Impact
Multi_Hazard_BBSR,3,#FFAA00,High,Significant Impact
Multi_Hazard_BBSR,4,#FF0000,Very High,Severe Impact
RH_2025,1,#AACDAB,< 30%,Extremely Dry
RH_2025,2,#F1FB7C,30–40%,Very Dry
RH_2025,3,#F9A248,40–50%,Moderate RH
RH_2025,4,#EF6C32,50–60%,Elevated RH
RH_2025,5,#B2182B,> 60%,High RH
UHI_2025,1,#38A1D0,< 1 °C,Negligible
UHI_2025,2,#AACDAB,1–2 °C,Mild
UHI_2025,3,#F1FB7C,2–3 °C,Moderate
UHI_2025,4,#F9A248,3–5 °C,High
UHI_2025,5,#EF2820,≥ 5 °C,Severe
WBGT_2025,1,#FEE825,< 28 °C,Safe
WBGT_2025,2,#5DC963,28–30 °C,Caution
WBGT_2025,3,#21918D,30–32 °C,Moderate Risk
WBGT_2025,4,#3B528C,32–34 °C,High Risk
WBGT_2025,5,#440154,> 34 °C,Extreme Risk
WBGT_SSP1_2040,1,#FEE825,< 28 °C,Safe
WBGT_SSP1_2040,2,#5DC963,28–30 °C,Caution
WBGT_SSP1_2040,3,#21918D,30–32 °C,Moderate Risk
WBGT_SSP1_2040,4,#3B528C,32–34 °C,High Risk
WBGT_SSP1_2040,5,#440154,> 34 °C,Extreme Risk
WBGT_SSP2_2040,1,#FEE825,< 28 °C,Safe
WBGT_SSP2_2040,2,#5DC963,28–30 °C,Caution
WBGT_SSP2_2040,3,#21918D,30–32 °C,Moderate Risk
WBGT_SSP2_2040,4,#3B528C,32–34 °C,High Risk
WBGT_SSP2_2040,5,#440154,> 34 °C,Extreme Risk
WBGT_SSP5_2040,1,#FEE825,< 28 °C,Safe
WBGT_SSP5_2040,2,#5DC963,28–30 °C,Caution
WBGT_SSP5_2040,3,#21918D,30–32 °C,Moderate Risk
WBGT_SSP5_2040,4,#3B528C,32–34 °C,High Risk
WBGT_SSP5_2040,5,#440154,> 34 °C,Extreme Risk
WBT_2025,1,#FFF5EB,< 25 °C,Safe
WBT_2025,2,#FDBE85,25–28 °C,Caution
WBT_2025,3,#FD8D3C,28–30 °C,Moderate Risk
WBT_2025,4,#E6550D,30–33 °C,High Risk
WBT_SSP1_2040,1,#FFF5EB,< 25 °C,Safe
WBT_SSP1_2040,2,#FDBE85,25–28 °C,Caution
WBT_SSP1_2040,3,#FD8D3C,28–30 °C,Moderate Risk
WBT_SSP1_2040,4,#E6550D,30–33 °C,High Risk
WBT_SSP1_2040,5,#7F2704,≥ 33 °C,Extreme Risk
WBT_SSP2_2040,1,#FFF5EB,< 25 °C,Safe
WBT_SSP2_2040,2,#FDBE85,25–28 °C,Caution
WBT_SSP2_2040,3,#FD8D3C,28–30 °C,Moderate Risk
WBT_SSP2_2040,4,#E6550D,30–33 °C,High Risk
WBT_SSP2_2040,5,#7F2704,≥ 33 °C,Extreme Risk
WBT_SSP5_2040,1,#FFF5EB,< 25 °C,Safe
WBT_SSP5_2040,2,#FDBE85,25–28 °C,Caution
WBT_SSP5_2040,3,#FD8D3C,28–30 °C,Moderate Risk
WBT_SSP5_2040,4,#E6550D,30–33 °C,High Risk
WBT_SSP5_2040,5,#7F2704,≥ 33 °C,Extreme Risk
